",",[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
\frac{727}{187}=727/187,=,=,0.6164250373840332,{,0.35978391766548157,<,0.006996404379606247,0.6164250373840332,1,0.006996404379606247,3,0.0044569759629666805,5,1
\frac{-571}{166}=-571/166,=,<,0.20148146152496338,⊆,0.19260694086551666,-,0.1276075839996338,0.045233290642499924,5,0.20148146152496338,1,1.3440002476272639e-05,863,NULL
\frac{-280}{-80}=-280/-80,=,{,0.8944753408432007,<,0.07273402810096741,(,0.02091238833963871,0.0013157675275579095,6,0.07273402810096741,2,8.394423639401793e-05,18,NULL
\frac{978}{-946}=978/-946,=,+,0.6539110541343689,",",0.2247437834739685,-,0.07316583395004272,0.006776804570108652,6,8.03020884632133e-06,40,4.7526168600597885e-06,49,NULL
\frac{-945}{-914}=-945/-914,=,/,0.993429958820343,s,0.002553015947341919,{,0.0017257017316296697,1.564858393976465e-05,20,1.8889084458351135e-05,17,9.297479550696153e-07,120,NULL
\frac{-907}{231}=-907/231,=,231,0.5616416931152344,312,0.19713108241558075,230,0.1542481780052185,0.00017695310816634446,42,9.599862238474088e-08,2391,3.572197613266326e-07,1199,NULL
\frac{-109}{90}=-109/90,=,-,0.8435202240943909,=,0.0435357429087162,(,0.02883473038673401,0.0435357429087162,2,0.0005553773953579366,19,3.704986738739535e-05,110,2
\frac{-134}{755}=-134/755,=,=,0.6926285624504089,{,0.19191862642765045,4,0.046489860862493515,0.6926285624504089,1,9.3103089966462e-06,110,1.1076824790734463e-07,781,1
\frac{815}{290}=815/290,=,{,0.4153733551502228,=,0.2542877495288849,by,0.18403977155685425,0.2542877495288849,2,0.0005768364062532783,12,0.00013656061491928995,21,2
\frac{178}{371}=178/371,=,{,0.5983948707580566,=,0.15895098447799683,",",0.10882002860307693,0.15895098447799683,2,0.0006223339587450027,18,0.00029092945624142885,25,2
\frac{394}{692}=394/692,=,{,0.9998171925544739,&,0.00015469144273083657,=,1.85202770808246e-05,1.85202770808246e-05,3,7.17634947022816e-08,17,1.2977184604689995e-10,221,3
\frac{44}{745}=44/745,=,{,0.9724855422973633,=,0.026871858164668083,",",0.000139978074003011,0.026871858164668083,2,2.273377276651445e-06,21,2.2438489395426586e-06,22,2
\frac{730}{178}=730/178,=,=,0.9338842630386353,(,0.020309606567025185,\,0.017682353034615517,0.9338842630386353,1,0.0004000821500085294,10,0.010567923076450825,4,1
\frac{-343}{356}=-343/356,=,4,0.6458157896995544,343,0.059710852801799774,312,0.046697068959474564,0.0032888296991586685,19,9.30737531490422e-09,11894,7.444302507764178e-09,12878,NULL
\frac{-253}{802}=-253/802,=,(,0.5555246472358704,{,0.29810845851898193,-,0.0658436268568039,0.011212545447051525,5,4.612528209690936e-05,76,1.4414851534638728e-07,1438,NULL
\frac{-622}{447}=-622/447,=,1,0.13873820006847382,(,0.135530024766922,-,0.11028878390789032,0.00255453959107399,26,0.0004658977559302002,56,7.777587597956881e-06,427,NULL
\frac{-938}{-568}=-938/-568,=,},0.3356795907020569,?,0.25521671772003174,(,0.1907198578119278,0.00857685785740614,6,0.004796118475496769,9,2.8750910132657737e-05,83,NULL
\frac{405}{220}=405/220,=,=,0.9221584796905518,{,0.0720125138759613,of,0.0007499171770177782,0.9221584796905518,1,8.608200232629315e-07,202,0.00015190907288342714,13,1
\frac{-752}{-906}=-752/-906,=,/,0.9367659687995911,.,0.020128481090068817,<,0.005441164597868919,0.0005694229621440172,19,0.005441164597868919,3,3.1360536922875326e-06,221,NULL
\frac{-792}{727}=-792/727,=,{,0.5274525284767151,",",0.2621493935585022,<,0.08956107497215271,0.004954934120178223,7,0.08956107497215271,3,0.00011501903645694256,43,NULL
\frac{-102}{629}=-102/629,=,=,0.9586377143859863,(,0.02303803153336048,{,0.00455168541520834,0.9586377143859863,1,0.00012289491132833064,22,7.641398042323999e-06,59,1
\frac{151}{-329}=151/-329,=,=,0.9869950413703918,\,0.002466325182467699,~,0.001829029992222786,0.9869950413703918,1,4.301344688428799e-06,54,0.0007320219883695245,8,1
\frac{610}{64}=610/64,=,=,0.883699357509613,<,0.06789720058441162,(,0.019915325567126274,0.883699357509613,1,0.06789720058441162,2,0.003955605439841747,5,1
\frac{352}{585}=352/585,=,",",0.9332230687141418,=,0.04688083007931709,by,0.014670559205114841,0.04688083007931709,2,7.970977833338111e-08,188,2.3901500753709115e-05,17,2
\frac{-250}{482}=-250/482,=,{,0.9315077066421509,),0.02104777656495571,",",0.009840605780482292,0.007990999147295952,4,4.168638042756356e-05,84,0.0005432438920252025,17,NULL
\frac{-840}{-403}=-840/-403,=,.,0.6565566062927246,{,0.1597762256860733,},0.06511661410331726,0.0004532586317509413,36,0.006124111823737621,9,0.000583851826377213,28,NULL
\frac{-350}{-343}=-350/-343,=,{,0.9936591982841492,=,0.0024342515971511602,three,0.0006155795999802649,0.0024342515971511602,2,8.552187864552252e-07,144,6.322411394421579e-08,532,2
\frac{-806}{-538}=-806/-538,=,{,0.9939654469490051,-,0.001661244430579245,(,0.0014954045182093978,4.054937380715273e-05,17,7.11965694790706e-05,13,2.504847032014368e-07,315,NULL
\frac{-962}{-352}=-962/-352,=,/,0.4691167175769806,-,0.20971475541591644,0,0.06830383837223053,0.016510309651494026,6,0.059460896998643875,5,0.0025336723774671555,19,NULL
\frac{-612}{917}=-612/917,=,≈,0.3112700283527374,61,0.0800807774066925,s,0.0571201853454113,0.0019232522463425994,49,0.037757664918899536,5,0.0007871361449360847,69,NULL
\frac{540}{229}=540/229,=,=,0.3169173300266266,{,0.11310569196939468,$,0.07739923149347305,0.3169173300266266,1,1.5871801224420778e-06,755,0.0009261115919798613,33,1
\frac{497}{-957}=497/-957,=,-,0.6658546328544617,+,0.16392774879932404,{,0.16128750145435333,0.0004167409788351506,8,0.00029402817017398775,10,0.0003117416927125305,9,NULL
\frac{-589}{-985}=-589/-985,=,/,0.8912819027900696,{,0.10308367013931274,(,0.0044628931209445,0.00023361128114629537,5,2.430957238175324e-06,27,8.288342314699548e-07,49,NULL
\frac{326}{-896}=326/-896,=,for,0.5151393413543701,if,0.30147525668144226,=,0.06477999687194824,0.06477999687194824,3,8.517028618371114e-06,75,0.000450256367912516,21,3
\frac{-38}{-818}=-38/-818,=,{,0.3701893091201782,\,0.28429344296455383,(,0.14698876440525055,0.050754476338624954,5,0.007510956376791,8,0.00019093665468972176,31,NULL
\frac{-566}{-118}=-566/-118,=,{,0.8310116529464722,-,0.08707976341247559,&,0.030297379940748215,4.59722796222195e-05,39,0.0005822460516355932,18,2.409599801467266e-06,159,NULL
\frac{-76}{-813}=-76/-813,=,{,0.9949110150337219,(,0.0021777250804007053,},0.0015171137638390064,0.0005340950447134674,4,8.416549098910764e-05,7,7.911352781775349e-07,28,NULL
\frac{-676}{-547}=-676/-547,=,{,0.9946584105491638,<,0.0027479706332087517,(,0.0010015683947131038,0.00010246674355585128,7,0.0027479706332087517,2,3.479791121208109e-05,15,NULL
\frac{285}{134}=285/134,=,by,0.6177120804786682,and,0.17736506462097168,(,0.12371549010276794,0.040362369269132614,4,5.7371680668438785e-06,75,3.132424899376929e-05,37,NULL
\frac{228}{425}=228/425,=,.,0.9326820969581604,=,0.044146936386823654,+,0.006263217888772488,0.044146936386823654,2,4.903298744807216e-08,620,1.5019742022559512e-05,37,2
\frac{-510}{109}=-510/109,=,-,0.7067787051200867,=,0.16636662185192108,.,0.04009596258401871,0.16636662185192108,2,3.3092780995502835e-06,300,4.43010028661206e-09,6752,2
\frac{-493}{352}=-493/352,=,-,0.35305801033973694,=,0.21334592998027802,35,0.08933611214160919,0.21334592998027802,2,0.014791526831686497,10,0.00023585406597703695,89,2
\frac{-333}{-487}=-333/-487,=,{,0.956916332244873,=,0.018524954095482826,+,0.007989457808434963,0.018524954095482826,2,0.0006590913399122655,8,0.0002655863354448229,10,2
\frac{-868}{290}=-868/290,=,},0.24092888832092285,=,0.1835363656282425,%,0.16850534081459045,0.1835363656282425,2,0.008338544517755508,9,1.744563087413553e-05,172,2
\frac{-335}{688}=-335/688,=,+,0.33067628741264343,=,0.3108769357204437,1,0.09615137428045273,0.3108769357204437,2,0.0034105561207979918,15,4.06515937356744e-06,456,2
\frac{-118}{-342}=-118/-342,=,{,0.9841274619102478,&,0.0077359238639473915,(,0.002755412831902504,4.64366385131143e-05,14,3.180295209403994e-07,209,1.87186316225052e-07,292,NULL
\frac{295}{-294}=295/-294,=,",",0.6264714598655701,-,0.11552760750055313,=,0.11234007030725479,0.11234007030725479,3,1.0040925246812549e-07,687,1.059729402186349e-05,62,3
\frac{-843}{-642}=-843/-642,=,{,0.671901285648346,/,0.3009660542011261,(,0.007763633504509926,0.0013658365933224559,7,0.0011939802207052708,8,2.333421889488818e-06,69,NULL
\frac{627}{-696}=627/-696,=,-,0.4388676881790161,{,0.3236248195171356,&,0.17051096260547638,0.004038880113512278,8,0.00048142962623387575,11,7.318957796087489e-05,13,NULL
\frac{-160}{-623}=-160/-623,=,=,0.23291458189487457,80,0.13497067987918854,{,0.07628818601369858,0.23291458189487457,1,0.00024037418188527226,131,0.00041757250437512994,98,1
\frac{320}{930}=320/930,=,=,0.6191390156745911,&,0.32907384634017944,",",0.025180090218782425,0.6191390156745911,1,0.0024290336295962334,5,0.0010424780193716288,7,1
\frac{-491}{-465}=-491/-465,=,{,0.707215428352356,-,0.1550266444683075,/,0.05426068603992462,0.0033999227453023195,7,6.634979217778891e-05,34,5.1992949011037126e-05,42,NULL
\frac{-79}{-378}=-79/-378,=,{,0.9705802798271179,},0.010043613612651825,(,0.005940720904618502,0.00038170276093296707,11,0.0015774284256622195,7,0.0006226478144526482,10,NULL
\frac{734}{730}=734/730,=,(,0.5549612045288086,{,0.3098791241645813,=,0.04561467468738556,0.04561467468738556,3,4.5509757910622284e-05,32,0.00019692238129209727,16,3
\frac{802}{-730}=802/-730,=,",",0.33076009154319763,%,0.12322481721639633,{,0.115214042365551,0.03886815160512924,8,8.268268175015692e-06,74,0.004272934515029192,14,NULL
\frac{120}{582}=120/582,=,{,0.7895409464836121,=,0.11700723320245743,",",0.07849622517824173,0.11700723320245743,2,0.000150027553900145,16,0.0003247070126235485,14,2
\frac{-2}{-501}=-2/-501,=,{,0.6799784302711487,2,0.23967617750167847,\,0.027522427961230278,0.00036301446380093694,22,0.00014293678395915776,36,0.00022870724205859005,27,NULL
\frac{-405}{308}=-405/308,=,4,0.9681071639060974,2,0.014132552780210972,{,0.004713733680546284,0.0023759149480611086,4,2.744591824921372e-07,378,5.176701733944356e-07,288,NULL
\frac{-107}{214}=-107/214,=,2,0.6450825333595276,4,0.07026463747024536,=,0.06444961577653885,0.06444961577653885,3,0.0002750282874330878,56,1.7185366232297383e-05,213,3
\frac{372}{-99}=372/-99,=,{,0.9498981833457947,+,0.040020935237407684,=,0.00428396463394165,0.00428396463394165,3,0.0001404657814418897,10,0.00031310771009884775,9,3
\frac{-872}{321}=-872/321,=,=,0.1595282256603241,-,0.14120928943157196,<,0.1337343007326126,0.1595282256603241,1,0.1337343007326126,3,0.00017687126819510013,137,1
\frac{-723}{405}=-723/405,=,4,0.26586657762527466,x,0.21859954297542572,(,0.13812418282032013,0.01553895603865385,7,0.00011682319745887071,104,0.00022724371228832752,75,NULL
\frac{534}{81}=534/81,=,{,0.9827806949615479,(,0.016746846958994865,=,0.00038703344762325287,0.00038703344762325287,3,7.560321080291033e-08,24,2.376476544441175e-07,18,3
\frac{-289}{-566}=-289/-566,=,{,0.9997376799583435,(,0.00017924110579770058,+,2.9841738069080748e-05,2.5241912226192653e-05,4,4.6802313136140583e-07,17,1.390292503344881e-08,79,NULL
\frac{923}{-707}=923/-707,=,-,0.8972948789596558,{,0.05224616453051567,.,0.01253537181764841,0.008872665464878082,6,6.1732716858387e-05,23,0.00023637726553715765,16,NULL
\frac{853}{-974}=853/-974,=,-,0.5274496674537659,{,0.38024991750717163,=,0.032976794987916946,0.032976794987916946,3,0.0002381987142143771,12,0.0001307437487412244,17,3
\frac{-113}{-778}=-113/-778,=,{,0.9910424947738647,&,0.0028889677487313747,+,0.0016366483177989721,0.0014954956714063883,4,3.3459502446930856e-05,10,2.4991331883938983e-06,19,NULL
\frac{-623}{-525}=-623/-525,=,{,0.5821288824081421,(,0.3315485119819641,x,0.03966759890317917,0.0054219248704612255,6,6.0328668041620404e-05,52,0.0010069843847304583,14,NULL
\frac{723}{-520}=723/-520,=,=,0.865070641040802,+,0.06686019152402878,-,0.04883299767971039,0.865070641040802,1,0.00011277117300778627,15,9.035978291649371e-05,17,1
\frac{209}{202}=209/202,=,=,0.9408006072044373,+,0.05244257301092148,{,0.0037911965046077967,0.9408006072044373,1,1.0013278597398312e-06,101,3.419783024583012e-05,16,1
\frac{297}{428}=297/428,=,{,0.8239257335662842,(,0.04351871460676193,=,0.04051101580262184,0.04051101580262184,3,4.470860949368216e-05,44,3.019228643097449e-06,132,3
\frac{136}{-340}=136/-340,=,by,0.7905324697494507,=,0.10388791561126709,",",0.08769958466291428,0.10388791561126709,2,9.201939064951148e-06,66,6.615345046157017e-05,24,2
\frac{-815}{-638}=-815/-638,=,{,0.3775865137577057,(,0.3477766811847687,&,0.1259457916021347,0.0813572108745575,4,0.004221656359732151,9,2.3986656287888763e-06,206,NULL
\frac{-773}{206}=-773/206,=,=,0.9738441705703735,",",0.009657459333539009,equals,0.005264553707093,0.9738441705703735,1,0.001786288688890636,5,1.2235177564434707e-06,265,1
\frac{-857}{-607}=-857/-607,=,{,0.9812813401222229,s,0.007972185499966145,<,0.0034004049375653267,0.0004036099708173424,9,0.0034004049375653267,3,0.0001178431703010574,14,NULL
\frac{-120}{-302}=-120/-302,=,{,0.9893844723701477,0,0.0013723875163123012,+,0.0011494875652715564,0.0010297633707523346,4,4.122271639062092e-05,26,1.2609856412382214e-06,120,NULL
\frac{-390}{-578}=-390/-578,=,{,0.6775541305541992,},0.13980333507061005,f,0.06375715136528015,0.0043434565886855125,11,3.4612789931998122e-06,168,4.334515779191861e-06,147,NULL
\frac{395}{822}=395/822,=,{,0.46781647205352783,=,0.3570682108402252,by,0.05349624156951904,0.3570682108402252,2,0.0002728222170844674,25,0.0011714231222867966,17,2
\frac{-13}{201}=-13/201,=,is,0.28843656182289124,=,0.2851729691028595,(,0.11769311130046844,0.2851729691028595,2,0.028780965134501457,7,0.002999708754941821,18,2
\frac{460}{899}=460/899,=,",",0.6733331084251404,{,0.1718825250864029,+,0.03710391744971275,0.00838376209139824,7,1.8751639800029807e-05,101,1.4820560863881838e-05,120,NULL
\frac{-571}{-83}=-571/-83,=,s,0.47504839301109314,<,0.20465080440044403,{,0.1511399745941162,0.009556176140904427,9,0.20465080440044403,2,0.0011448664590716362,26,NULL
\frac{89}{-591}=89/-591,=,{,0.4653005599975586,+,0.2927190065383911,%,0.07706938683986664,0.031476110219955444,6,0.03394782170653343,4,0.0005385962431319058,14,NULL
\frac{-48}{88}=-48/88,=,2,0.5540803670883179,(,0.23204587399959564,1,0.06475412845611572,0.0031226822175085545,9,0.00041710989899002016,31,8.031302422750741e-05,71,NULL
\frac{-606}{18}=-606/18,=,18,0.9298607707023621,60,0.008381658233702183,4,0.007235818542540073,4.76759705634322e-05,85,3.6825710481025453e-07,729,2.1051012322192975e-10,15423,NULL
\frac{499}{-69}=499/-69,=,{,0.8985141515731812,-,0.05875638872385025,+,0.023866984993219376,0.006658386439085007,4,4.661411730921827e-05,22,3.6633034596889047e-06,66,NULL
\frac{-602}{171}=-602/171,=,≈,0.13221147656440735,-,0.10092979669570923,750,0.06286189705133438,0.0003565835941117257,173,0.032892122864723206,7,4.3424761315691285e-06,3059,NULL
\frac{551}{-699}=551/-699,=,{,0.9837794899940491,-,0.006651412695646286,+,0.004333584103733301,0.00012721972598228604,10,4.7525890067845467e-07,50,4.4751050154445693e-07,51,NULL
\frac{835}{-966}=835/-966,=,-,0.716707706451416,<,0.11676567792892456,{,0.09166983515024185,0.018124345690011978,5,0.11676567792892456,2,0.0012059601722285151,11,NULL
\frac{-253}{761}=-253/761,=,{,0.8130592703819275,",",0.07670661807060242,is,0.05761800706386566,0.010606212541460991,4,0.00012010210048174486,33,2.097325051408916e-07,1036,NULL
\frac{112}{-731}=112/-731,=,{,0.5607569217681885,=,0.24824181199073792,(,0.06528917700052261,0.24824181199073792,2,0.0002408715372439474,25,1.3693206710740924e-05,78,2
\frac{-243}{196}=-243/196,=,=,0.9398545622825623,196,0.021823426708579063,is,0.003618478775024414,0.9398545622825623,1,0.0010543337557464838,16,8.547203265152348e-07,590,1
\frac{97}{375}=97/375,=,=,0.8445757627487183,",",0.027820875868201256,0,0.01531858742237091,0.8445757627487183,1,2.051338378805667e-05,221,0.0085743498057127,6,1
\frac{-165}{707}=-165/707,=,30,0.44716939330101013,75,0.06513810157775879,f,0.061895061284303665,0.004309758543968201,30,0.007832021452486515,17,4.934072876494611e-06,1457,NULL
\frac{66}{-38}=66/-38,=,=,0.9730865955352783,{,0.010266900062561035,.,0.005586820188909769,0.9730865955352783,1,6.585576193174347e-05,17,3.1634303013561293e-05,22,1
\frac{557}{946}=557/946,=,{,0.9980864524841309,≈,0.0006655041943304241,=,0.0006375558441504836,0.0006375558441504836,3,6.498788479802897e-06,14,1.0122035746462643e-05,12,3
\frac{459}{-472}=459/-472,=,{,0.8735513687133789,-,0.03607214242219925,+,0.026142649352550507,0.014802961610257626,5,5.4483610512079395e-08,513,2.8216359169164207e-06,72,NULL
\frac{355}{208}=355/208,=,=,0.8108656406402588,{,0.16535308957099915,",",0.01332663930952549,0.8108656406402588,1,2.547166388922051e-07,385,0.0004820238391403109,10,1
\frac{323}{-569}=323/-569,=,{,0.7099276185035706,=,0.2642967402935028,",",0.0103789446875453,0.2642967402935028,2,5.556849828280974e-06,44,2.6796918973559514e-05,25,2
\frac{-408}{-179}=-408/-179,=,{,0.5378095507621765,<,0.3844775855541229,&,0.046671703457832336,0.007737650536000729,5,0.3844775855541229,2,0.00012922953465022147,25,NULL
\frac{930}{-501}=930/-501,=,",",0.8997260332107544,=,0.040755029767751694,{,0.023105541244149208,0.040755029767751694,2,0.0036921510472893715,6,0.0008262867922894657,13,2
\frac{-610}{39}=-610/39,=,=,0.8024114370346069,(,0.1345783770084381,4,0.016585206612944603,0.8024114370346069,1,0.0007704900926910341,18,0.0047719222493469715,5,1
\frac{-142}{685}=-142/685,=,4,0.2855803668498993,equals,0.19215665757656097,=,0.16547521948814392,0.16547521948814392,3,0.00031107442919164896,59,1.7109572425511033e-08,7180,3
\frac{-122}{181}=-122/181,=,4,0.8369978666305542,f,0.056412529200315475,can,0.019787520170211792,0.0033270269632339478,7,0.0007731406367383897,23,0.0017107522580772638,16,NULL
\frac{-659}{-517}=-659/-517,=,{,0.9859252572059631,s,0.00481610419228673,+,0.004331727046519518,0.0002493521315045655,7,0.0008545268210582435,4,2.3973751012817957e-05,33,NULL
\frac{-114}{253}=-114/253,=,is,0.24971731007099152,x,0.1277090162038803,=,0.09791761636734009,0.09791761636734009,3,0.0001572566106915474,76,8.981132850749418e-06,384,3
\frac{-313}{820}=-313/820,=,=,0.7531617879867554,",",0.1372416764497757,\,0.019313883036375046,0.7531617879867554,1,0.00019955914467573166,42,0.0006972336559556425,21,1
\frac{404}{-687}=404/-687,=,{,0.6871433854103088,+,0.2480011135339737,=,0.04542959854006767,0.04542959854006767,3,1.777729812602047e-05,30,2.9289521989994682e-05,23,3
\frac{727}{769}=727/769,=,{,0.9999861717224121,&,6.6246461756236386e-06,=,3.467504484433448e-06,3.467504484433448e-06,3,1.2490309586610238e-07,7,2.2319374126666958e-10,71,3
\frac{-202}{763}=-202/763,=,{,0.7058279514312744,+,0.1884915679693222,2,0.03706284984946251,0.004210588987916708,9,0.006091659422963858,8,2.115731376761687e-07,367,NULL
\frac{-342}{978}=-342/978,=,1,0.7303681969642639,j,0.07717326283454895,+,0.06377821415662766,0.06059213727712631,4,1.725636684568599e-05,86,7.997054041197771e-08,1048,NULL
\frac{633}{535}=633/535,=,{,0.8928895592689514,&,0.05407089740037918,=,0.024336034432053566,0.024336034432053566,3,3.5978123378299642e-06,46,4.552765403786907e-06,39,3
\frac{-477}{214}=-477/214,=,4,0.3691122531890869,2,0.211447075009346,=,0.11420516669750214,0.11420516669750214,3,0.0003405556781217456,61,1.1879047633556183e-05,373,3
\frac{-129}{992}=-129/992,=,{,0.9348663091659546,-,0.033132318407297134,total,0.0065482198260724545,0.0006213305168785155,15,3.702891035572975e-06,247,1.9188682642834465e-08,3006,NULL
\frac{177}{-799}=177/-799,=,",",0.9384737610816956,and,0.01702173799276352,{,0.004737642128020525,0.0009007590124383569,14,0.0001224801380885765,54,0.002047779969871044,6,NULL
\frac{605}{778}=605/778,=,{,0.9850196838378906,=,0.01412274595350027,",",0.00032773325801827013,0.01412274595350027,2,9.528171744932479e-07,21,1.924966426258834e-07,32,2
\frac{-891}{-493}=-891/-493,=,{,0.9467459917068481,+,0.024913597851991653,<,0.013310765847563744,0.0004864275688305497,12,0.013310765847563744,3,0.00035119496169500053,14,NULL
\frac{-737}{416}=-737/416,=,4,0.7569662928581238,=,0.026748402044177055,approx,0.019862603396177292,0.026748402044177055,2,0.0026021262165158987,16,5.408431388786994e-05,207,2
\frac{129}{-2}=129/-2,=,",",0.4049431085586548,=,0.30708593130111694,\,0.19209910929203033,0.30708593130111694,2,3.3219848774024285e-06,57,1.1276069926680066e-05,31,2
\frac{841}{-631}=841/-631,=,-,0.3561594784259796,.,0.278245747089386,+,0.19588911533355713,0.0074287583120167255,6,9.80574986897409e-06,42,5.051135303801857e-06,49,NULL
\frac{-489}{-832}=-489/-832,=,{,0.5215555429458618,(,0.3240587115287781,],0.01798596978187561,0.0005365170654840767,37,4.2031238990603015e-05,182,0.00021663113147951663,72,NULL
\frac{-918}{-687}=-918/-687,=,{,0.3600079119205475,<,0.22056785225868225,−,0.10463647544384003,0.004648808855563402,15,0.22056785225868225,2,1.9205290300305933e-05,171,NULL
\frac{-987}{233}=-987/233,=,s,0.2699708640575409,-,0.2493424415588379,1,0.10247251391410828,0.023858439177274704,7,0.0010464746737852693,36,8.772769069764763e-05,120,NULL
\frac{338}{-400}=338/-400,=,=,0.6434558033943176,+,0.1010979637503624,{,0.09604810178279877,0.6434558033943176,1,1.5363466445705853e-05,68,5.518631951417774e-05,38,1
\frac{-954}{540}=-954/540,=,95,0.0912996381521225,scales,0.09066701680421829,.,0.07245175540447235,0.02866474911570549,9,0.0009134482825174928,73,0.00011486145376693457,197,NULL
\frac{-13}{251}=-13/251,=,and,0.3815985321998596,h,0.36221134662628174,-,0.10531626641750336,0.005242308136075735,9,1.1704573807946872e-06,363,4.641130544769112e-06,185,NULL
\frac{-577}{-534}=-577/-534,=,{,0.9995449185371399,&,0.00019789912039414048,(,8.2994723925367e-05,6.196169124450535e-06,8,9.655530448071659e-06,7,2.7334779133525444e-06,10,NULL
\frac{-777}{-609}=-777/-609,=,{,0.9863256812095642,-,0.009705961681902409,1,0.0006896535051055253,4.9855247198138386e-05,15,6.529638994834386e-06,25,2.513713752705371e-07,78,NULL
\frac{950}{-94}=950/-94,=,=,0.45929068326950073,.,0.2511133551597595,",",0.1311085969209671,0.45929068326950073,1,0.0002776867477223277,30,0.011007864028215408,6,1
\frac{-595}{203}=-595/203,=,<,0.3953841030597687,=,0.2567455470561981,{,0.05994885787367821,0.2567455470561981,2,0.3953841030597687,1,0.007450882811099291,13,2
\frac{-33}{-54}=-33/-54,=,{,0.8800479173660278,=,0.061041127890348434,(,0.03593093901872635,0.061041127890348434,2,2.0004708858323283e-05,40,1.6374061715396238e-06,125,2
\frac{463}{-816}=463/-816,=,-,0.8033207654953003,+,0.10478471219539642,{,0.07873380929231644,0.0003515573334880173,9,1.5581198340441915e-06,31,2.23558276957192e-06,27,NULL
\frac{-108}{-459}=-108/-459,=,{,0.9796961545944214,4,0.007258526980876923,},0.002279614331200719,0.0005818104255013168,10,1.3451570339384489e-05,53,1.4724050743097905e-05,52,NULL
\frac{54}{-383}=54/-383,=,+,0.5071594715118408,=,0.28850263357162476,{,0.17186255753040314,0.28850263357162476,2,6.361227860907093e-05,16,2.887869777623564e-05,21,2
\frac{-162}{-841}=-162/-841,=,{,0.9932128190994263,+,0.0019317448604851961,<,0.0015175517182797194,3.061871757381596e-05,18,0.0015175517182797194,3,3.3461042221460957e-06,42,NULL
\frac{-244}{-996}=-244/-996,=,{,0.39838582277297974,33,0.13962429761886597,f,0.10548605024814606,0.0900825634598732,5,3.5762038805842167e-06,130,1.046517610348019e-07,497,NULL
\frac{858}{906}=858/906,=,{,0.9891198873519897,=,0.010351256467401981,&,0.0001212903080158867,0.010351256467401981,2,8.438665099674836e-05,4,5.290668923407793e-06,13,2
\frac{-245}{-782}=-245/-782,=,{,0.9981695413589478,<,0.000456298264907673,com,0.0001926443655975163,3.112812919425778e-05,9,0.000456298264907673,2,2.845336166501511e-05,11,NULL
\frac{-989}{-78}=-989/-78,=,=,0.6555739641189575,{,0.08964236080646515,(,0.0750664696097374,0.6555739641189575,1,0.0015139133902266622,14,0.0006368299364112318,19,1
\frac{-987}{-252}=-987/-252,=,/,0.40231063961982727,{,0.14393584430217743,.,0.12602722644805908,0.015426966361701488,9,7.127131539164111e-05,66,6.802805728511885e-05,68,NULL
\frac{-82}{-672}=-82/-672,=,{,0.645813524723053,(,0.16677254438400269,&,0.06750156730413437,0.043817173689603806,5,0.004231714643537998,7,1.504576448496664e-05,95,NULL
\frac{630}{-710}=630/-710,=,=,0.5810563564300537,",",0.3738502860069275,\,0.029434021562337875,0.5810563564300537,1,0.0005609986837953329,12,4.343970067566261e-05,28,1
\frac{65}{-158}=65/-158,=,{,0.6565255522727966,%,0.12396791577339172,(,0.05587874352931976,0.026500403881072998,5,1.2659608728426974e-05,78,0.0004669261979870498,27,NULL
\frac{900}{144}=900/144,=,=,0.954647958278656,of,0.020894663408398628,{,0.007190772332251072,0.954647958278656,1,5.2710103773279116e-05,28,5.75892991037108e-05,27,1
\frac{-437}{97}=-437/97,=,=,0.7519289255142212,(,0.06961793452501297,<,0.0369437038898468,0.7519289255142212,1,0.0369437038898468,3,1.5742565665277652e-05,100,1
\frac{53}{11}=53/11,=,(,0.6759591102600098,{,0.30628153681755066,$,0.005333357490599155,0.004613400436937809,4,1.021651678456692e-05,27,4.801186514669098e-05,17,NULL
\frac{338}{725}=\frac{338}{725},=,=,0.9393132925033569,{,0.03763320669531822,+,0.01871512085199356,0.9393132925033569,1,0.00024983365437947214,7,9.802912245504558e-05,10,1
\frac{266}{-802}=\frac{266}{-802},=,-,0.4697626531124115,+,0.35002338886260986,{,0.09652052819728851,0.00534047232940793,7,3.542759804986417e-05,28,0.0002440991229377687,16,NULL
\frac{-936}{955}=\frac{-936}{955},=,=,0.9286067485809326,",",0.0427359938621521,{,0.007530728820711374,0.9286067485809326,1,0.0032010390423238277,5,0.0008910259348340333,11,1
\frac{-465}{23}=\frac{-465}{23},=,=,0.688800036907196,",",0.07526083290576935,{,0.05791414529085159,0.688800036907196,1,0.026592645794153214,5,0.00041937403148040175,25,1
\frac{-551}{-528}=\frac{-551}{-528},=,=,0.7960420250892639,(,0.06995359063148499,+,0.06352943181991577,0.7960420250892639,1,0.006443022284656763,6,0.006112045142799616,8,1
\frac{-216}{69}=\frac{-216}{69},=,=,0.9960266351699829,+,0.00167806725949049,\,0.00128544878680259,0.9960266351699829,1,9.319111086369958e-06,14,1.2084832633263431e-05,13,1
\frac{-307}{-473}=\frac{-307}{-473},=,=,0.6678378582000732,{,0.13523536920547485,\,0.08807387948036194,0.6678378582000732,1,0.0002611525706015527,18,0.0005358451744541526,13,1
